checksum_http_service=LISTENING
checksum_http_port=19411
checksum_http_workers=1
checksum_http_mode=emulate
checksum_http_runtime=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime
checksum_http_library=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime/lib/arm64-v8a/libphonepe-cryptography-support-lib.so
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by org.scijava.nativelib.NativeLoader in an unnamed module (file:/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/target/checksum-service.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[pool-1-thread-1] INFO com.github.unidbg.linux.AndroidSyscallHandler - Return default pipe pair.
checksum_perf construct_ms=0.000 execute_ms=3.788 prepare_ms=0.001 checksum_ms=3.127 jnmcs_ms=3.080 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.966 prepare_ms=0.001 checksum_ms=2.467 jnmcs_ms=2.442 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.632 prepare_ms=0.001 checksum_ms=2.975 jnmcs_ms=2.939 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.592 prepare_ms=0.001 checksum_ms=5.723 jnmcs_ms=5.677 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.411 prepare_ms=0.001 checksum_ms=5.507 jnmcs_ms=5.469 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.167 prepare_ms=0.001 checksum_ms=2.924 jnmcs_ms=2.898 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.729 prepare_ms=0.001 checksum_ms=3.213 jnmcs_ms=3.184 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.850 prepare_ms=0.001 checksum_ms=2.604 jnmcs_ms=2.576 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.258 prepare_ms=0.000 checksum_ms=3.012 jnmcs_ms=2.987 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.649 prepare_ms=0.001 checksum_ms=2.420 jnmcs_ms=2.401 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.615 prepare_ms=0.001 checksum_ms=2.423 jnmcs_ms=2.403 reused=true
checksum_perf construct_ms=0.000 execute_ms=50.307 prepare_ms=0.001 checksum_ms=49.141 jnmcs_ms=49.057 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.334 prepare_ms=0.001 checksum_ms=7.615 jnmcs_ms=7.567 reused=true
checksum_perf construct_ms=0.000 execute_ms=10.602 prepare_ms=0.002 checksum_ms=8.856 jnmcs_ms=8.720 reused=true
checksum_perf construct_ms=0.000 execute_ms=9.764 prepare_ms=0.001 checksum_ms=7.358 jnmcs_ms=7.287 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.850 prepare_ms=0.001 checksum_ms=6.380 jnmcs_ms=6.330 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.711 prepare_ms=0.002 checksum_ms=6.234 jnmcs_ms=6.118 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.936 prepare_ms=0.001 checksum_ms=8.064 jnmcs_ms=8.006 reused=true
checksum_perf construct_ms=0.000 execute_ms=12.123 prepare_ms=0.002 checksum_ms=11.085 jnmcs_ms=10.999 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.022 prepare_ms=0.001 checksum_ms=5.584 jnmcs_ms=5.517 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.270 prepare_ms=0.001 checksum_ms=5.644 jnmcs_ms=5.529 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.310 prepare_ms=0.001 checksum_ms=4.615 jnmcs_ms=4.560 reused=true
checksum_perf construct_ms=0.000 execute_ms=14.330 prepare_ms=0.001 checksum_ms=10.030 jnmcs_ms=9.654 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.475 prepare_ms=0.001 checksum_ms=6.001 jnmcs_ms=5.959 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.993 prepare_ms=0.001 checksum_ms=6.570 jnmcs_ms=6.499 reused=true
checksum_perf construct_ms=0.000 execute_ms=9.132 prepare_ms=0.001 checksum_ms=8.769 jnmcs_ms=8.717 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.750 prepare_ms=0.001 checksum_ms=4.863 jnmcs_ms=4.801 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.714 prepare_ms=0.001 checksum_ms=7.395 jnmcs_ms=7.322 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.887 prepare_ms=0.001 checksum_ms=5.036 jnmcs_ms=4.969 reused=true
